Strike,Time to maturity,Call
70,0.25,50.7834291785011
75,0.25,46.0561329706773
80,0.25,41.38353651189
85,0.25,36.7763689104007
90,0.25,32.2476458321577
95,0.25,27.8135033422389
100,0.25,23.4945204131329
105,0.25,19.3179146162335
110,0.25,15.3213638607042
115,0.25,11.5599322567064
120,0.25,8.11870220131992
125,0.25,5.13303777595311
130,0.25,2.7999340141244
135,0.25,1.29180107829647
140,0.25,0.531193847056326
70,0.5,51.9357272015355
75,0.5,47.44538556101
80,0.5,43.0223370431667
85,0.5,38.6751121848594
90,0.5,34.4137919821384
95,0.5,30.2505594550849
100,0.5,26.2005180140014
105,0.5,22.2829331523734
110,0.5,18.5231484062366
115,0.5,14.9555484601028
120,0.5,11.6279848060145
125,0.5,8.60751487522737
130,0.5,5.98430925242975
135,0.5,3.8617359614633
140,0.5,2.31183589906186
70,0.75,53.0167425423774
75,0.75,48.7080641764977
80,0.75,44.4700899082886
85,0.75,40.3097770139972
90,0.75,36.2353085272895
95,0.75,32.2564925961083
100,0.75,28.3853233662845
105,0.75,24.636777070744
110,0.75,21.0299446290331
115,0.75,17.5896201655459
120,0.75,14.3484187500347
125,0.75,11.3492186619254
130,0.75,8.64680125302467
135,0.75,6.30537510368111
140,0.75,4.38583310253289
70,1,54.0057299296563
75,1,49.8477051725078
80,1,45.7609483501205
85,1,41.7512868670448
90,1,37.8255711620345
95,1,33.9919731980903
100,1,30.2603884430867
105,1,26.642978586298
110,1,23.1548994107071
115,1,19.8152539663061
120,1,16.6482687986339
125,1,13.6845466120046
130,1,10.9618757314052
135,1,8.52431665992599
140,1,6.41726997511705
70,1.25,54.9112683831521
75,1.25,50.8839114293392
80,1.25,46.9272046815475
85,1.25,43.0461179366525
90,1.25,39.2464983081872
95,1.25,35.5352976518587
100,1.25,31.9208689932561
105,1.25,28.4133514476444
110,1.25,25.0251635214047
115,1.25,21.7716163607512
120,1.25,18.6716279469916
125,1.25,15.7484389792707
130,1.25,13.0300547246732
135,1.25,10.5488151176356
140,1.25,11.3390720741519
70,1.5,55.7439443824011
75,1.5,51.8331413613548
80,1.5,47.9918110416671
85,1.5,44.2242447683252
90,1.5,40.5354991199464
95,1.5,36.9315714950227
100,1.5,33.4196231502185
105,1.5,30.0082599383077
110,1.5,26.7078792417146
115,1.5,23.5310837466227
120,1.5,20.493141586303
125,1.5,17.6124251473185
130,1.5,14.9106682847996
135,1.5,12.4127265061688
140,1.5,10.1453262495158
70,1.75,56.5129321138109
75,1.75,52.708081014082
80,1.75,48.9712452685338
85,1.75,45.3061633779821
90,1.75,41.7172495042764
95,1.75,38.2097302872901
100,1.75,34.7898151443414
105,1.75,31.464905270425
110,1.75,28.2438443177104
115,1.75,25.137207308306
120,1.75,22.1576097744661
125,1.75,19.3199900126815
130,1.75,16.6417650931577
135,1.75,14.1426793637902
140,1.75,11.8440625046294
70,2,57.2257615218018
75,2,53.5185382262056
80,2,49.8777345369015
85,2,46.3066285811264
90,2,42.8091007803816
95,2,39.389741102387
100,2,36.05398048167
105,2,32.8082488090797
110,2,29.6601597570837
115,2,26.6187176989077
120,2,23.6945318447628
125,2,20.9000041008727
130,2,18.2494259849195
135,2,15.7588736899482
140,2,13.4457345880119
