Strike,TTM,Call
70,0.25,55.3370941211442
75,0.25,50.4955295433172
80,0.25,45.6888516543069
85,0.25,40.9260177576848
90,0.25,36.218113153431
95,0.25,31.5790205451184
100,0.25,27.0264365790738
105,0.25,22.5834983527978
110,0.25,18.2815455954173
115,0.25,14.1651307730954
120,0.25,10.3017238213055
125,0.25,6.80125664592536
130,0.25,3.85155753188428
135,0.25,1.73442949002651
140,0.25,0.613156140669041
70,0.5,55.9903177818708
75,0.5,51.3337082172371
80,0.5,46.7283822737589
85,0.5,42.1825517541219
90,0.5,37.7058589911097
95,0.5,35.0104606103996
100,0.5,30.7150622296896
105,0.5,24.8196638489795
110,0.5,20.7661159837038
115,0.5,16.8787755045008
120,0.5,13.2010714723961
125,0.5,9.79663432962948
130,0.5,6.7606566974886
135,0.5,4.22863970857367
140,0.5,2.34941568259891
70,0.75,56.6699466194769
75,0.75,52.1676494691688
80,0.75,47.7232668503186
85,0.75,43.3438802057887
90,0.75,39.0376892283017
95,0.75,34.814365451036
100,0.75,30.6855612591191
105,0.75,26.6656597169501
110,0.75,22.7729033126122
115,0.75,19.0311217564482
120,0.75,15.4723869017045
125,0.75,12.1409773732354
130,0.75,9.09863951425396
135,0.75,6.42888002060572
140,0.75,4.23093823498697
70,1,57.3232781468197
75,1,52.9538555634923
80,1,48.645320678797
85,1,44.4038113047339
90,1,40.2364029445784
95,1,36.1513956712577
100,1,32.1587141932874
105,1,28.2704751969819
110,1,24.5018029672625
115,1,20.8720102592335
120,1,17.4062961865113
125,1,14.1380964208304
130,1,11.1119785283914
135,1,8.38602069155012
140,1,6.03004748729503
70,1.25,57.9396482286072
75,1.25,53.6880351990851
80,1.25,49.4985537504383
85,1.25,45.376576497988
90,1.25,41.3282910613591
95,1.25,37.3609363592886
100,1.25,33.4831233902078
105,1.25,29.7052759466715
110,1.25,26.0402409191209
115,1.25,22.5041338904258
120,1.25,19.1174947104358
125,1.25,15.9067995950611
130,1.25,12.906226222649
135,1.25,10.1590966662693
140,1.25,7.71730114842297
70,1.5,58.5180569269596
75,1.5,54.3730934185013
80,1.5,50.2905722178057
85,1.5,46.275237016778
90,1.5,42.3325547961472
95,1.5,38.4689122244458
100,1.5,34.6918763384516
105,1.5,31.0105433054508
110,1.5,27.436006648045
115,1.5,23.9819831675264
120,1.5,20.6656343442455
125,1.5,17.5085950165909
130,1.5,14.5381253713391
135,1.5,11.7880448059377
140,1.5,9.2985496413723
70,1.75,59.0601801430144
75,1.75,55.0132214922145
80,1.75,51.0284700219102
85,1.75,47.1101433104951
90,1.75,43.2631095525437
95,1.75,39.4930518406012
100,1.75,35.8066821426344
105,1.75,32.212021234405
110,1.75,28.7187648392117
115,1.75,25.3387587004775
120,1.75,22.0866016007606
125,1.75,18.9803741914792
130,1.75,16.0424284489649
135,1.75,13.300021676673
140,1.75,10.7852769951091
70,2,59.5683908721134
75,2,55.6125024052344
80,2,51.7182501448835
85,2,47.8894045403972
90,2,44.1303268952814
95,2,40.4461074395482
100,2,36.8427423588386
105,2,33.3273610202787
110,2,29.908516642506
115,2,26.5965540311494
120,2,23.4040634765851
125,2,20.3464133747913
130,2,17.4423114454077
135,2,14.7142511343141
140,2,12.1885246185535
